DESIGN_ID,LOAD_CASE,VALID,MASS,MAX_STRESS_RATIO,MAX_DISPLACEMENT_RATIO,EQUILIBRIUM_RESIDUAL,CONDITION_NUMBER,FAILURE_MODE
B1_dense,H_asymmetric_combo,False,8.829386278033033,2.2204751746719666,0.007010097251415809,3.1530333899354446e-14,913.5977456330663,stress
B1_dense,H_edge_down,False,8.829386278033033,8.640045607995095,0.015940315490406986,7.105427357601002e-15,913.5977456330663,stress
B1_dense,H_reversed_asymmetry,False,8.829386278033033,2.239403407856054,0.006010848537836258,4.574118861455645e-14,913.5977456330663,stress
B2_warren,H_asymmetric_combo,False,6.0691087142598334,1.2769660767268276,0.00659809735517485,3.9968028886505635e-14,538.7633105168721,stress
B2_warren,H_edge_down,True,6.0691087142598334,0.78125,0.0014681681028155468,7.105427357601002e-15,538.7633105168721,ok
B2_warren,H_reversed_asymmetry,False,6.0691087142598334,1.7276599861598265,0.0063515335125127375,1.4210854715202004e-14,538.7633105168721,stress
G06,H_asymmetric_combo,False,4.535164227014474,1.2769660767268265,0.006980781091599091,2.1316282072803006e-14,216.98284163236744,stress
G06,H_edge_down,False,4.535164227014474,12.5,0.022499999999999996,0.0,216.98284163236744,stress
G06,H_reversed_asymmetry,False,4.535164227014474,1.7276599861598254,0.006715762930536168,2.842170943040401e-14,216.98284163236744,stress
G02,H_asymmetric_combo,False,4.709108714259834,2.2499999999999982,0.00893269936585848,2.842170943040401e-14,245.4195046558891,stress
G02,H_edge_down,False,4.709108714259834,12.5,0.022499999999999996,0.0,245.4195046558891,stress
G02,H_reversed_asymmetry,False,4.709108714259834,1.7276599861598265,0.007493610522764619,2.1316282072803006e-14,245.4195046558891,stress
G11,H_asymmetric_combo,False,4.905164227014474,1.833333333333333,0.008413855647318782,1.509903313490213e-14,258.0047448024436,stress
G11,H_edge_down,True,4.905164227014474,0.78125,0.001468168102815546,1.7763568394002505e-15,258.0047448024436,ok
G11,H_reversed_asymmetry,False,4.905164227014474,1.727659986159828,0.0075316861527334475,7.105427357601002e-15,258.0047448024436,stress
G01,H_asymmetric_combo,False,5.739108714259833,1.6666666666666603,0.010532256161142622,1.5987211554602254e-14,618.7866496810472,stress
G01,H_edge_down,True,5.739108714259833,0.7812499999999998,0.0014681681028155425,5.329070518200751e-15,618.7866496810472,ok
G01,H_reversed_asymmetry,False,5.739108714259833,1.9166666666666605,0.01135934893298342,2.1316282072803006e-14,618.7866496810472,stress
